Category,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
Soup,6256,0,2,0,5.64,10,11.8,0.1,0,0,0.211,2.78,43,0.107,3.5,2.62,0.028,87.11,1.147,0.155,1.93,3.23,69,0.051,0.22,9,60,95,354,0.54,43,0.5,0.034,0.1,0.02,0.1
Soup,6402,40,110,6,7.71,0,7.8,3.4,18,232,0.205,2.42,0,0.02,0,1.24,0.021,87.62,0.24,0.205,0.17,0.66,19,0.155,0.75,17,38,125,487,0.55,11,0,0.035,0.1,0.18,0.9
Soup,6413,0,0,0,0.38,0,4.7,0,0,0,1.372,2.02,0,0.029,0,0.29,0.004,95.95,0.24,0.11,0.16,0.57,4,0.051,0.21,1,30,86,306,0.1,0,0.1,0.01,0,0.02,0
Soup,6417,0,32,2,3.43,2,3.6,0.8,28,990,0.272,1.08,0,0.02,3.3,1.02,0.01,93.84,0.27,0.14,0.13,0.59,10,0.051,0.37,2,10,31,391,0.15,3,0.01,0.026,2,0.15,2.6
Soup,6430,0,0,0,5.05,3,3.4,0.3,2,0,0.759,1.55,8,0.081,3.1,0.19,0.061,90.89,0,0.469,0.468,1.01,9,0.122,1.22,7,127,108,254,0.18,8,4.63,0.051,2,0.2,0.4
Soup,6443,0,0,0,3.33,0,4.7,0.3,2,0,0.169,0.66,1,0.008,1.4,0.2,0.006,92.46,0.597,1.42,0.472,2.59,7,0.016,0.09,2,12,31,340,0.06,1,0,0.007,0,0.24,9.6
Soup,6449,0,1,0,9.88,0,13.2,1.9,0,0,0.462,3.2,3,0.025,3.6,3.19,0.04,84.55,0.372,0.142,0.524,1.09,12,0.146,0.73,15,47,71,336,0.64,3,0,0.02,0.6,0.09,0.2
Soup,6456,0,0,0,3.27,7,3.4,0.1,0,0,0.17,1.11,15,0.011,2.3,0.24,0.008,92.38,0.595,0.075,1.29,2.07,9,0.055,0.21,4,13,24,391,0.3,16,0.24,0.015,0,0,0
Soup,6461,30,114,2,8.44,2,8.2,0.6,21,2929,0.745,1.78,1,0.036,2,0.73,0.034,86.99,0.69,0.27,0.635,1.71,9,0.055,0.45,3,23,88,367,0.3,12,0.08,0.035,0,0.31,0
Soup,6463,0,124,0,8.54,1,7.8,0.7,1,8591,0.411,0.82,1,0.02,0.9,2.95,0.024,88.52,0.235,0.525,0.2,1.06,11,0.055,0.31,2,13,129,319,0.2,12,0,0.03,5.8,0.86,1.5
Soup,6468,205,750,0,4.89,0,3.9,0.3,80,965,0.374,0.86,0,0.019,1.8,1.57,0.022,92.41,0.34,0.295,0.12,0.79,10,0.055,0.44,3,14,86,338,0.19,71,0,0.023,0.6,0.58,2.1
Soup,6472,193,415,0,5.35,1,5.1,0.7,18,14,0.395,1.21,0,0.019,1.1,0.82,0.021,91.59,0.225,0.32,0.18,0.78,9,0.067,0.4,3,16,79,253,0.33,43,0,0.023,1,0.06,1.2
Soup,6475,0,0,0,0.25,0,1.4,0,0,0,0.049,0.21,0,0.003,0.3,0.2,0.002,98.69,0.033,0.003,0.04,0.08,4,0.01,0.02,2,3,6,382,0.01,0,0.01,0.003,0,0.01,0
Soup,6480,0,0,0,0.3,0,1.9,0,0,0,0.041,0.28,0,0.007,0.5,0.29,0.002,98.28,0.089,0.074,0.057,0.23,6,0.01,0.02,2,3,6,401,0.01,0,0,0.002,0,0.01,0
Soup,6494,0,0,0,2.77,0,1.2,0.3,1,0,0.063,0.32,0,0.012,0.2,0.2,0.012,95.8,0.003,0.007,0.004,0.01,9,0.025,0.05,4,9,31,346,0.05,0,0,0.025,0.1,0.01,0.1
Soup,6498,0,174,8,7.17,2,7.5,0.4,32,649,0.926,0.93,5,0.175,1.1,3.9,0.105,89.88,0.237,0.063,0.286,0.61,29,0.034,0.18,10,33,111,356,0.13,20,0.06,0.058,2,0.22,0.8
Soup,6559,0,115,0,7.45,0,6.3,0.5,44,5345,0.42,0.71,0,0.007,1.5,4.03,0.02,90.55,0.067,0.077,0.056,0.21,8,0.029,0.29,7,15,275,186,0.09,10,0,0.042,6.3,0.17,1.5
Soup,6583,2,6,0,60.26,0,5.5,2.9,20,0,5.401,10.17,0,0.255,23.1,1.98,0.448,6.52,6.156,2.198,8.117,17.59,21,0.126,4.11,25,115,181,1855,0.6,1,0.25,0.038,0.3,2.44,8.9
Soup,6584,0,435,0,7.7,4,18.4,1.8,540,0,0.248,2.1,30,0.04,1.5,2.12,0.02,82.7,2,1.7,1.6,5.3,41,0.03,0.3,13,42,207,661,0.26,66,0.02,0.064,2,0.72,51.8
Soup,6700,64,111,0,0.93,0,0.3,0,1,7,0.11,0.24,0,0.022,0,0.55,0.023,98.05,0.005,0.004,0.028,0.07,3,0.009,0.06,1,3,19,296,0.03,12,0,0.007,0.4,0,0.7
Soup,6749,528,1110,0,6.16,7,11.4,1.2,119,624,0.978,3.18,0,0.016,3,1.25,0.015,88.22,0.296,0.342,0.407,1.16,18,0.026,0.51,10,48,174,326,0.56,115,0.17,0.126,3.6,0.45,6
Sauce,6931,0,390,0,8.05,2,13.7,1.8,190,12700,3.917,1.41,0,0.061,1.4,5.5,0.024,87.4,0.376,0.504,0.17,1.48,27,0.081,0.78,18,34,319,419,0.2,32,0,0.173,2,2.4,13.9
Soup,6955,94,205,0,9.5,6,8.5,0.4,7,0,0.637,1.8,4,0.022,6.3,0.39,0.005,85.8,0.4,0.4,0.5,1.3,11,0.034,0.2,2,23,272,357,0.13,25,0.05,0.012,0,0.08,0.7
Soup,6956,0,235,0,13.41,0,12.8,1.2,90,10920,1.032,1.61,0,0.063,5.1,8.11,0.039,82.5,0.179,0.189,0.155,0.56,13,0.159,1.11,14,29,229,22,0.25,20,0,0.086,12.9,0.34,3.2
Fish broth,6963,0,0,0,0.4,0,9.2,0,0,0,1.37,2,1,0.03,0.7,0.09,0,96,0.108,0.245,0.133,0.6,30,0.051,0.21,1,30,86,200,0.1,1,0.1,0.01,0,0.15,0.2
Soup,6968,0,1,0,4.53,1,5.8,0.2,0,0,0.3,1,7,0.04,0.6,1.72,0.02,90.3,0.704,1.739,1.005,3.7,19,0.051,0.21,2,20,41,20,0.24,7,0.02,0.01,0.4,0.37,0.8
Soup,6970,0,0,0,1.2,0,3.1,0,0,0,1.37,2,0,0.03,0,0.13,0,96,0.274,0.126,0.179,0.6,4,0.051,0.21,1,30,86,30,0.1,0,0.1,0.01,0,0,0
Sauce,6971,1,43,3,19.17,0,2.7,0,48,0,0.7,0,1,0.13,0.5,10.03,0.07,78.54,0,0,0,0,107,0.2,5.3,13,60,800,1300,0.19,5,0,0,13,0.08,1
Sauce,6972,13,402,0,19.79,0,13.7,2.4,1,12819,1.6,2.5,0,0.07,1.1,13.33,0.09,68,0.038,0.154,0.045,0.3,20,0.13,0.8,12,52,370,1338,0.16,34,0,0.16,16,1.92,5.2
Sauce,6976,0,390,0,8.06,2,13.7,1.8,190,12665,3.917,1.41,0,0.061,1.1,5.5,0.024,87.39,0.377,0.508,0.17,1.48,27,0.081,0.78,18,34,319,30,0.2,33,0,0.173,2,2.4,13.9
Soup,6980,49,365,1,9,21,18,0.6,386,14,0.1,5.1,51,0.09,7.6,1.68,0.04,79.9,1.556,0.246,2.324,4.6,20,0.1,0.88,2,50,140,435,1.1,84,0.26,0.06,0,0.41,102.8
Soup,6981,70,264,1,64.88,13,114.5,0.2,272,19,2.46,16.7,0,0.43,27.6,14.47,0.1,2.3,5.365,4.485,3.433,13.89,187,0,1.03,56,166,309,1067,0.09,25,0.3,0.1,1.1,0.72,66.9
Blood sausage,7005,0,0,0,1.29,120,72.8,0,0,0,1.2,14.6,0,0.13,15.5,1.29,0.07,47.3,15.9,3.46,13.4,34.5,6,0.04,6.4,8,22,38,680,1.3,0,1,0.04,0,0.13,0
Bologna,7007,6,11,11,4.29,57,29.7,0,0,11,2.321,10.91,17,0.065,11.6,2.05,0.03,55.31,12.198,1.182,10.487,26.13,21,0.053,1.29,13,154,351,1013,1.93,19,1.19,0.157,15.2,0.56,2.4
Bratwurst,7013,0,0,0,2.85,74,94,0,0,0,4.795,13.72,2,0.307,39.7,0,0.459,51.45,14.692,2.632,9.998,29.18,28,0.104,0.53,21,208,348,846,3.25,2,0.73,0.327,0,0.26,3.4
Braunschweiger (a liver sausage),7014,0,0,0,3.1,180,255.9,0,0,0,8.368,14.5,4220,1.525,58,0,0.249,50.6,12.731,3.193,9.307,28.5,9,0.24,11.2,11,168,199,977,2.81,4220,20.09,0.33,0,0.35,1.6
Frankfurter,7022,0,0,0,2.89,58,31.9,0,0,0,2.25,11.7,3,0.154,10.3,1.26,0.033,54.6,12.1,0.954,11.4,28,15,0.046,1.14,11,128,343,872,2.06,3,0.97,0.13,0,0.51,1.8
Frankfurter,7025,0,0,0,3.81,77,48.4,0,0,0,3.68,12.23,0,0.181,15.1,1.21,0.036,62.99,5.736,3.949,4.028,17.29,148,0.071,1.47,14,172,392,911,1.84,0,0.82,0.143,0,0.62,0
Ham,7028,0,0,0,0.27,41,62.4,0,0,0,5.697,16.7,0,0.266,31.6,0,0.336,75.7,1.47,0.544,1.12,3.73,5,0.05,0.58,18,261,425,1040,1.52,0,0.36,0.394,0,0.29,0
Ham salad spread,7031,0,0,0,10.64,37,69,0,0,0,2.095,8.68,0,0.12,17.8,0,0.435,62.6,7.171,2.689,5.049,15.53,8,0.07,0.59,10,120,150,1075,1.1,0,0.76,0.15,0,1.74,0
Headcheese,7034,0,0,0,0,69,104.1,0,0,0,0.44,13.83,0,0.115,0.1,0,0.023,73.84,5.601,1.134,3.402,10.9,16,0.122,1.5,9,56,31,941,0.97,0,1.05,0.19,0,0.25,3.4
Knackwurst,7038,0,0,0,3.2,60,55,0,0,0,2.734,11.1,0,0.14,13.5,0,0.342,55.3,12.81,2.92,10.21,27.7,11,0.06,0.66,11,98,199,930,1.66,0,1.18,0.17,0,0.57,1.6
Roast beef,7043,0,0,0,0.64,51,43.9,0,0,0,5.581,18.62,3,0.213,14.7,0.29,0.043,73.72,1.521,0.27,1.318,3.69,5,0.086,2.05,20,242,647,853,3.2,3,2.04,0.46,0,0.49,1.6
Mortadella,7050,0,0,0,3.05,56,72.2,0,0,0,2.673,16.37,0,0.153,22.6,0,0.119,52.3,11.38,3.12,9.51,25.39,18,0.06,1.4,11,97,163,1246,2.1,0,1.48,0.13,0,0.22,1.6
Pate,7053,0,0,0,6.55,391,228.8,0,0,0,7.517,13.45,217,1.401,46.1,0,0.052,65.64,5.28,2.46,4,13.1,10,0.18,9.19,13,175,95,386,2.14,217,8.07,0.26,10,0.98,0
Pepperoni,7057,0,0,0,1.18,97,51.2,0,0,0,4.987,19.25,0,0.257,29,0,0.271,28.55,20.77,4.458,17.708,46.28,19,0.091,1.33,18,158,274,1582,2.44,0,1.3,0.362,0,1.03,5.8
Pickle and pimiento loaf,7058,4,147,46,8.46,58,31.7,1.5,87,0,2.486,11.23,78,0.115,7.9,8.46,0.392,60.29,7.06,2.804,5.287,15.95,109,0.105,1.33,34,153,371,1040,1.68,78,0.54,0.418,7.8,0.4,5.1
Pork sausage,7064,0,0,0,1.42,86,62.3,0,0,0,6.119,18.53,28,0.176,20.7,1.09,0.256,49.89,11.541,5.115,8.826,27.25,9,0.071,1.2,16,149,342,814,2.45,28,0.98,0.195,0,0.9,0
Poultry salad sandwich spread,7067,0,0,0,7.41,30,49.6,0,0,0,1.669,11.64,42,0.071,10.9,0,0.024,66.17,3.25,6.22,3.45,13.52,10,0.03,0.61,10,33,183,653,1.04,42,0.38,0.11,1,2.2,0
Salami,7070,0,0,0,1.55,76,53.1,0.1,0,0,3.979,19.2,2,0.303,26.4,1.12,0.426,68.8,3.172,2.466,2.783,9.21,40,0.19,1.25,22,266,216,1107,2.32,2,0.99,0.427,0,0.24,1.3
Salami,7072,0,0,0,0.72,108,72.6,0,0,0,6.105,21.07,11,0.196,33.6,0.26,0.386,41.19,14.717,4.895,11.418,31.65,24,0.096,1.36,20,192,363,1756,2.67,11,1.15,0.441,0,0.64,0
Sandwich spread,7073,0,0,0,11.94,38,62.3,0.2,0,0,1.73,7.66,26,0.134,9.7,0,0.172,60.28,7.584,2.565,5.977,17.34,12,0.13,0.79,8,59,110,1013,1.02,26,1.12,0.12,0,1.74,1.6
Thuringer,7078,0,0,0,3.33,74,78.9,0,0,0,4.31,17.45,0,0.33,20.3,0.85,0.15,45.18,12.97,1.2,11.51,30.43,9,0.15,2.04,14,111,260,1300,2.56,0,5.5,0.26,16.6,0.22,1.3
Turkey breast,7081,0,0,0,2.2,49,30.1,0,0,0,7.15,14.81,0,0.145,13,0.91,0.038,75.98,1.145,1.024,0.906,3.77,14,0.024,0.42,19,249,371,898,0.94,0,0.37,0.41,0,0.13,0
Sausage,7083,0,0,0,2.6,87,43.7,0,0,0,1.613,10.5,0,0.107,16.9,0,0.087,64.9,9.628,1.29,7.125,19.4,10,0.03,0.88,7,49,101,879,1.6,0,1.02,0.12,0,0.22,1.6
Sausage,7089,0,0,0,2.15,80,70.4,0,0,0,5.73,18.2,22,0.242,20.2,1.46,0.31,50.9,11.6,4.96,9.15,26.2,12,0.074,1.29,18,145,310,766,2.41,22,1.06,0.343,0,0.8,0
Frankfurter,7905,0,0,0,11.21,41,74.9,0,0,0,3.466,12.5,0,0.154,18.7,0,0.162,71.5,0.74,0.35,0.5,1.59,54,0.117,1.78,14,132,220,880,2.92,0,1.06,0.181,24,0,1.8
Luncheon meat,7906,0,0,0,3.4,76,61.2,0,0,0,3.175,12.5,0,0.179,25,0,0.264,55.5,12.34,2.666,8.873,25.1,0,0.046,0.64,14,109,564,1036,2.12,0,0.61,0.283,43,0.24,0
Luncheon meat,7908,0,0,0,4.6,71,68.5,0,0,0,3.53,13.4,0,0.176,22.9,0,0.317,51.7,13.505,2.019,9.987,26.6,0,0.051,0.64,14,151,409,1411,1.59,0,0.45,0.218,0,0.42,0
Sausage,7919,0,0,0,0.93,78,59.6,0,0,0,5.02,16.7,0,0.296,12.5,0,0.047,69.6,3.07,3.15,2.53,10.4,32,0.07,1.17,18,178,310,599,2.58,0,1.2,0.335,0,0.24,0.4
Scrapple,7951,0,0,0,14.06,49,72.4,0.3,0,0,2.273,8.06,626,0.287,17.4,0.2,0.116,62.47,6.156,1.664,4.732,13.87,7,0.212,1.89,13,76,158,482,1.06,626,0.31,0.12,2.5,0.15,3.4
Sausage,7954,0,0,0,3.37,61,38.3,0,0,0,2.43,13.3,18,0.132,11.6,1,0.054,51.7,12.7,1.91,11.3,28.7,35,0.075,1.55,19,124,263,866,2.14,18,1.13,0.15,19.2,0.33,2.8
Chicken breast,7961,0,0,0,2.92,51,44.2,0,0,0,9.055,17.4,2,0.071,13.2,0.75,0.048,74.47,0.74,0.452,0.564,1.86,11,0.02,0.39,26,257,360,1032,0.51,2,0.14,0.445,0,0.32,0
Frankfurter,7962,0,0,0,5.02,78,50.2,0,0,0,2.813,9.72,31,0.145,12.4,2.75,0.047,57.58,9.929,5.386,7.583,24.18,106,0.042,1.04,11,175,359,976,1.14,31,0.71,0.063,22.5,0.44,0.1
Pork sausage,7966,0,0,0,0.15,82,70.3,0,0,0,7.737,20.94,28,0.21,30,0,0.377,55.88,8.02,4.192,6.034,20.32,19,0.088,1.91,22,185,328,698,3.14,28,1.16,0.282,0,1.22,0
Kielbasa,7968,0,0,0,5.03,73,41.8,0,0,0,3.727,12.45,9,0.212,19.8,2.39,0.15,49.38,12.564,5.383,9.894,29.68,42,0.056,0.99,16,204,306,1062,1.53,9,0.72,0.097,14.7,0.38,0
Bologna,7971,0,0,0,6.31,92,59.3,0,0,0,3.187,10.34,0,0.158,14.4,1.97,0.047,55.93,10.269,4.59,7.389,23.77,125,0.035,1.24,15,212,320,1379,1.06,0,0.47,0.193,0,0.59,1.7
Bacon,7973,0,0,0,4.24,153,87.9,0,0,0,8.102,29.5,19,0.398,28.5,4.24,0.049,34.46,9.382,6.871,6.933,25.87,163,0.118,2.63,30,416,666,2021,4.71,19,1.88,0.374,0,0.14,0
Bacon,7974,0,0,0,4.8,100,56.9,0,0,0,6.222,13.33,8,0.183,19.4,0,0.029,58.93,8.571,4.275,6.667,20,10,0.063,0.72,19,145,156,900,1.61,8,0.66,0.401,24,2.7,10.8
Sausage,7976,0,0,0,14.25,36,39.8,0,0,0,12.857,21.43,0,0.469,31.3,0.81,0.396,56.01,1.797,1.526,0.893,4.46,0,0.449,1.29,43,286,1062,446,2.41,0,0.15,0.536,0,1.35,34.8
Cereals ready-to-eat,8001,0,4,0,74.24,0,49.4,29.3,192,0,14.8,13.14,522,2.71,9.4,15.69,2.27,2.12,0.89,2,1.1,4.9,389,1.04,17.6,362,1150,1020,258,12.4,522,18.8,12,20,1.19,5.2
Cereals ready-to-eat,8002,11,16,0,80.3,0,25.6,7.1,334,0,16.7,10,739,1.4,20.9,21,1.3,1.2,1.5,1.8,1.1,4.6,35,0.3,30,99,309,267,592,5,741,5,1.7,20,0.31,1.4
Cereals ready-to-eat,8003,10,15,0,88.2,0,7.5,9.3,276,0,17.9,5.1,526,1.52,5.6,43.7,1.34,2.5,0.6,0.9,1.9,3.4,12,0.098,16.1,29,70,112,466,5.4,527,5.4,1.79,54,0.12,0.4
Cereals ready-to-eat,8010,44,67,0,85.51,0,8.6,2.5,645,0,21.465,4.39,0,1.822,6.5,44.32,1.614,2.5,0.639,0.747,3.346,5.12,11,0.111,19.42,55,167,186,754,16.16,7,0,2.138,0,0.62,0.6
Cereals ready-to-eat,8011,0,89,0,85.93,0,8.6,2.6,538,0,20.75,4.45,0,1.8,10.4,44.2,1.6,2.5,0.63,0.75,3.08,4.83,11,0.119,19.8,55,168,187,725,15.56,7,0,2.14,0.1,0.63,0.6
Cereals ready-to-eat,8012,44,68,0,78.65,0,14.7,2.7,850,0,20.36,7.1,0,1.732,7.5,33.36,1.53,2.5,2.641,2.148,3.92,9.23,9,0.111,18.36,69,194,236,742,15.29,8,0,2.038,0,0.61,0.2
Cereals ready-to-eat,8013,0,0,0,73.2,0,26.2,10.1,159,0,17.9,12.4,990,0.1,24.9,4.5,1.3,3.76,2.3,2.4,1.6,6.6,357,0.387,28.9,114,357,633,497,13.4,990,6.77,1.79,21.4,0.41,2
Cereals ready-to-eat,8014,0,0,0,87.9,0,8.7,1.4,0,0,16.1,4.6,1210,1.37,16.1,38.6,1.21,2.81,0.3,0.1,2.1,2.7,127,0.332,14.5,38,102,197,424,5,1210,4.8,1.61,48,10.8,0.1
Cereals ready-to-eat,8015,0,0,0,85.7,0,3.8,1.6,1,0,17.2,4.8,776,1.5,14,35.8,1.3,2.5,0.2,0.1,3.6,4.1,22,0.3,6.2,31,95,193,594,5.2,776,5.2,1.7,0,0.13,1.3
Cereals ready-to-eat,8017,37,57,0,84.5,0,12.8,5.1,803,0,19.2,5.2,539,1.6,7.3,34.8,1.4,2.3,1.4,1.7,0.8,4.4,385,0.213,17.3,31,154,231,457,14.4,546,5.8,1.923,23.1,0.57,1.5
Cereals ready-to-eat,8019,52,79,0,85,0,12.9,4.7,1223,0,16.1,6.4,431,1.39,12,11.1,1.2,2.5,0.6,1.29,0.4,2.4,323,0.143,26.1,26,129,197,719,12.1,440,4.8,1.61,19.4,0.25,0.1
Cereals ready-to-eat,8020,54,83,0,84.1,0,8.7,3.3,339,0,17.9,7.5,481,1.52,8.3,9.5,1.34,3.76,0.067,0.196,0.116,0.4,5,0.198,28.9,39,102,168,729,1,490,5,1.79,21,0.12,0
Cereals ready-to-eat,8023,0,1,1,70.3,0,29.2,12.7,96,0,10.2,9.2,244,0.87,27.3,28,0.77,3,4.9,2.8,6.2,14.1,59,0.4,3.7,153,278,403,280,3.1,244,3.1,1.02,31,0,3
Cereals ready-to-eat,8025,0,0,0,86.22,0,6,0.7,0,0,28.967,6.69,1136,1.288,18,12.12,2.05,3.62,0.243,0.293,0.36,1.26,5,0.149,32.73,23,98,106,545,1.3,1136,5.45,1.937,64.5,0.06,0
Cereals ready-to-eat,8028,0,0,0,81.6,0,35,17.3,159,0,69,10.2,776,5.86,10.5,18.8,5.17,2.5,0.4,1.3,0.4,2.5,39,0.5,62.1,138,517,518,718,51.7,776,21,6.9,207,46.35,1.4
Cereals ready-to-eat,8029,0,3,0,80.5,0,33.5,18.3,150,0,16.7,9.9,748,1.4,52.5,18.6,1.3,3.4,0.3,1.2,0.4,2.1,44,0.5,28,229,449,533,540,5,749,5,1.7,0,0.77,1.4
Cereals ready-to-eat,8030,19,29,0,88,0,10.5,9.3,442,0,17.2,5.3,498,1.47,5.9,34.5,1.29,2.5,0.6,0.9,1.8,3.4,10,0.089,15.5,31,74,117,469,5.2,501,5.2,1.72,52,0.15,0.3
Cereals ready-to-eat,8031,0,4,0,83.4,0,25.3,10.8,167,0,8.6,9.2,0,0.73,4.1,20.3,0.65,4.8,0.2,0.9,0.4,1.6,28,0.35,28,86,368,363,2,2.7,0,2.6,0.86,0,0.67,1.6
Cereals ready-to-eat,8032,0,0,0,91.3,0,3.6,0.5,0,0,16.7,4.3,1250,1.42,15.4,40.2,1.25,2.5,0.1,0.1,0.1,0.4,6,0.164,18,23,81,59,371,0.8,1250,5,1.67,50,11.25,0.1
Cereals ready-to-eat,8034,0,0,0,86.1,0,3.7,0.8,0,0,18.52,4.62,833,1.57,10.2,34.28,1.39,3,0.16,0.12,3.6,4.02,19,0.14,6.67,16,71,72,531,5.56,833,5.56,1.85,22.2,0.13,1.3
Cereals ready-to-eat,8035,13,21,0,85.1,0,15.2,5.6,410,0,16.1,5.3,470,1.4,5.6,35,1.2,2.2,1.6,1,0.4,3.2,323,0.206,14.5,26,129,206,772,12.1,472,4.8,1.613,19.4,0.64,2
Cereals ready-to-eat,8037,0,11,0,53.88,0,49.2,8.9,137,0,2.739,13.67,0,0.354,25.4,19.8,0.548,5.84,10.951,7.809,3.957,24.31,76,0.647,3.95,168,431,539,26,4.17,1,0,0.37,1.2,11.1,5.3
Cereals ready-to-eat,8038,0,2,0,80.49,0,31.9,13,166,0,8.62,11.22,0,0.12,9.1,8.86,0.65,3.5,0.21,0.78,0.34,1.81,32,0.34,28,124,467,400,465,2.07,0,0,0.86,0.1,0.62,2
Cereals ready-to-eat,8039,0,3,0,82,0,29,10.2,136,0,17.2,9.4,775,1.5,47.8,15.2,1.3,3.3,1.5,1.5,0.5,3.7,36,0.3,27.9,101,280,336,470,7.8,775,5.2,1.7,0,0.81,2.6
Cereals ready-to-eat,8045,0,1,0,79.69,0,20.6,7.1,50,0,21.4,8.85,834,1.867,16,32.89,1.917,2.86,1.104,1.024,0.529,5,425,0.234,20.58,90,328,412,566,17.17,834,7.5,2.267,21.4,0.48,2.3
Cereals ready-to-eat,8046,30,46,0,86.63,0,8.6,3.2,681,0,15.62,6.01,672,1.33,10.4,31.51,1.17,1.5,0.6,0.91,1.29,2.93,11,0.13,8.44,45,132,142,553,4.69,678,4.69,1.56,0,0.17,0.6
Cereals ready-to-eat,8048,52,80,0,82.82,0,15.3,8.8,1236,0,24.25,7.69,870,2,8.5,9.76,1.955,2.79,0.99,1.277,0.576,3.46,570,0.142,32,51,189,223,596,17.42,879,5.7,2.3,25.4,0.3,0.2
Cereals ready-to-eat,8049,1,18,11,77.74,0,24,6.6,99,0,17.18,9.98,0,1.49,23,19.43,1.28,4.3,1.48,1.42,0.83,4.43,351,0.277,29.33,98,423,283,501,13.78,2,0,1.8,0,0.61,1.2
Cereals ready-to-eat,8050,0,0,0,80.89,0,16.1,5,92,0,25.3,7.67,847,1.723,14.6,36.13,1.737,4.15,1.586,1.542,0.885,5.02,434,0.213,22.27,74,289,222,648,18.62,847,6.8,3.01,26.6,0.45,1.4
Cereals ready-to-eat,8054,0,1,0,73.65,2,35,10.2,130,0,2.308,10.55,2,0.289,17.3,20.34,0.411,2.19,6.6,2.68,1.24,11.62,109,0.312,2.81,121,392,483,50,2.95,2,0.17,0.231,0.2,1.3,7
Cereals ready-to-eat,8057,44,67,0,86.67,0,11.3,3.9,1039,0,15.6,6.3,424,1.29,10.5,28.1,1.2,2.2,0.5,1,0.5,2,313,0.13,14.1,25,63,219,600,11.69,432,4.69,1.56,18.8,0.21,0.1
Cereals ready-to-eat,8060,0,2,0,77.29,0,24.3,11.4,97,0,13.8,7.72,386,1.08,4.6,31.3,0.753,10.4,0.339,0.949,0.48,2.72,43,0.456,12.33,122,347,653,356,3.39,386,2,1.843,0,0.66,2.1
Cereals ready-to-eat,8061,0,2,0,78.9,0,27.3,13.7,101,0,8.5,7.6,380,0.7,5.9,32.9,0.6,8.6,0.349,0.796,0.296,1.6,44,0.4,18.3,168,339,525,382,3.8,380,2.5,0.8,0.9,0.54,1.9
Cereals ready-to-eat,8064,0,0,0,85.09,0,17.5,2,0,0,18.5,6.4,556,1.6,19.6,8,1.39,2.59,0.6,0.69,0.5,1.89,370,0.26,33.29,30,148,188,809,13.89,556,5.59,1.85,22.2,0.35,1
Cereals ready-to-eat,8065,0,0,0,85.05,0,6,0.4,0,0,17.967,6.75,1136,1.29,19.6,9.87,1.77,5.06,0.593,0.626,0.458,2.05,5,0.186,30.42,27,125,125,527,1.39,1136,7.23,2.35,63.3,26.64,0
Cereals ready-to-eat,8066,0,0,0,87.78,0,6,1.4,0,0,3.525,7.01,0,0.265,10.5,0,0.441,3.91,0.18,0.345,0.325,0.9,9,0.239,2.86,30,118,116,5,1.1,0,0,0,0,0.1,0.1
Cereals ready-to-eat,8067,0,0,0,73.4,0,11,1.4,0,0,22.6,17.79,500,1.91,54.9,12.69,1.69,3,0.3,0.4,0.4,1.79,23,0.179,28,12,48,53,667,0.69,500,19.4,6.44,68,15.3,0.1
Cereals ready-to-eat,8068,39,60,0,89.7,0,7.1,8.4,1066,0,16.7,4.8,460,1.42,6.5,31.3,1.25,3,0.2,0.5,0.5,1.3,7,0.083,6,28,52,113,357,5,467,5,1.67,20,0.12,0
Cereals ready-to-eat,8069,5,21,40,89.2,0,1.9,2.2,676,0,27.667,3.96,446,1.73,3.3,35.43,1.903,4.18,0.265,0.669,0.451,1.68,3,0.039,26.7,8,47,76,468,0.15,450,8.1,3.573,24.2,0.07,0.2
Cereals ready-to-eat,8071,0,0,0,88.5,0,15.6,5,92,0,18.5,5.7,556,1.57,29.1,56.2,1.39,2.9,0.4,0.5,0.5,2.2,14,0.195,1.5,59,213,183,142,1.7,556,5.6,1.85,22,0.41,2.8
Cereals ready-to-eat,8073,0,2,0,90.1,0,13.8,5,92,0,18.5,5.5,832,1.6,48.6,53.6,1.4,1.4,0.6,0.6,0.2,1.7,15,0.2,6.7,59,227,176,95,5.6,832,5.6,1.9,0,0.33,0.9
Cereals ready-to-eat,8074,0,0,0,75.96,0,14.9,10.7,132,0,17.857,10.71,1071,1.518,47,3.57,1.339,3.68,1.786,1.786,0.926,5.36,357,0.429,32.14,143,536,607,571,13.39,1071,5.36,1.786,21.4,0.43,1.3
